Name,Media,URL
DeepHammer: Depleting the Intelligence of Deep Neural Networks through Targeted Chain of Bit Flips,Resources%20%20e4f94/sec20-yao.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
RowHammer: A Retrospective,Resources%20%20e4f94/1904.09724.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Revisiting RowHammer: An Experimental Analysis of Modern DRAM Devices and Mitigation Techniques,Resources%20%20e4f94/9138944.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
TRRespass: Exploiting the Many Sides of Target Row Refresh,Resources%20%20e4f94/rowhammer-TRRespass_ieee_security_privacy20.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Are We Susceptible to Rowhammer? An End-to-End Methodology for Cloud Providers,Resources%20%20e4f94/9152654.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
BlockHammer: Preventing RowHammer at Low Cost by Blacklisting Rapidly-Accessed DRAM Rows,Resources%20%20e4f94/BlockHammer_preventing-DRAM-rowhammer-at-low-cost_hpca21.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"Nanopore Sequencing Technology and Tools for Genome Assembly: Computational Analysis of the Current State, Bottlenecks and Future Directions",Resources%20%20e4f94/1711.08774.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
GateKeeper: a new hardware architecture for accelerating pre-alignment in DNA short read mapping,Resources%20%20e4f94/gatekeeper_FPGA-genome-prealignment-accelerator_bionformatics17.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
GRIM-Filter: Fast Seed Location Filtering in DNA Read Mapping Using Processing-in-Memory Technologies,Resources%20%20e4f94/1711.01177.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Shouji: A Fast and Efficient Pre-Alignment Filter for Sequence Alignment,Resources%20%20e4f94/shouji-genome-prealignment-filter_bionformatics19.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"SneakySnake: A Fast and Accurate Universal Genome Pre-Alignment Filter for CPUs, GPUs and FPGAs",Resources%20%20e4f94/1910.09020.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"GenASM: A High-Performance, Low-Power Approximate String Matching Acceleration Framework for Genome Sequence Analysis",Resources%20%20e4f94/GenASM-approximate-string-matching-framework-for-genome-analysis_micro20.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Accelerating Genome Analysis: A Primer on an Ongoing Journey,Resources%20%20e4f94/AcceleratingGenomeAnalysis_ieeemicro20.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Error Detecting and Error Correcting Codes,Resources%20%20e4f94/bstj29-2-147.pdf,"The Bell System Technical Journal, April, 1950, Volume 29, Number 2"
You and Your Research,Resources%20%20e4f94/youandyourresearch.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Project Zero: Reading Privileged Memory with a Side-channel,,https://googleprojectzero.blogspot.com/2018/01/reading-privileged-memory-with-side.html
Project Zero: Exploiting the DRAM rowhammer bug to gain kernel privileges,,https://googleprojectzero.blogspot.com/2015/03/exploiting-dram-rowhammer-bug-to-gain.html
The Byzantine Generals Problem,Resources%20%20e4f94/p382-lamport.pdf,https://googleprojectzero.blogspot.com/2015/03/exploiting-dram-rowhammer-bug-to-gain.html
